,,,,,,,,,,,,,,,,,V,As,the,politic,situation,let,us,some,of,our,men,and,women
,,,,,,,,,,,,,,,,,,,,,And,then,the,day,after,said,All,the,women
,,,,,,,,,,,,,,,,,,,,,,,,,,Only,if,the,women
,,,,,,,,,,,,,,,,,,,,,,,V,This,compound,and,all,the,women
,,,,,,,,,,,,,,,,,,,,,,,,,,,Men,and,women
,,,,,,,,,,,,,,,,,,,,,,,,,Now,we,are,only,women
,,,,,,,,,,,,,,,,,,,,,,,,And,all,the,other,younger,women
,,,,,,,,,,,,,,,,,,,,,,,I,And,approximately,how,many,young,women
All,of,a,sudden,we,were,in,that,side,across,the,other,side,we,saw,a,woman,a,blonde,woman,another,young,woman,and,somehow,they,have,hair,those,women
,,,,,,,,,,,,I,So,besides,these,Dutch,people,who,else,was,there,Because,each,camp,at,least,had,10000,women
,,,,,,,,,,,,,,,,,,,,,French,Scandinavians,sometimes,we,have,also,nonJewish,people,women
,,,,,,,,,,,,,,,,,,,,,,,,,Some,of,the,girls,women
,,,,,,,,,,,,,,,,,,,,,,,,,,I,Just,for,women
,,,,,,,,,,,,,,,,,,,,,,,,,,I,And,these,women
,,,,,,,,,,,,,,,,,,,,,,,,I,A,lot,of,other,women
,,,,,,,,,,,,,,,,,,,,,Was,this,a,camp,mixed,with,men,and,women
,,,,,,,,,,,,,,,,,,Was,this,a,camp,mixed,with,men,and,women,or,just,women
,,,,,,,,,,,,,,,,,,,,,,,,,,V,Men,and,women
,,,,,,,,,,,,,There,were,a,lot,of,prisoners,from,one,thing,strike,me,was,a,group,of,Ukrainian,women
,,,,,,,,,,,,,,,,,,,,,,Now,when,we,approach,the,fountain,those,women
,,,,,,,,,,,,,,,,,,,,,,,,I,What,were,the,Ukrainian,women
,,,,,,,,,,,,,,,,,,,You,name,it,In,Auschwitz,there,were,politicals,men,and,women
,,,,,,,,,,,,,,,,,,,,,,,,,I,However,the,Ukrainian,women
,,,,,,,,,,,,,,,,,,,,,,But,there,must,be,something,that,those,women
,,,,,,,,,,,,,,,Because,he,have,nightmares,about,listening,to,the,screams,and,crying,of,babies,of,women
,,,,And,I,said,Im,not,used,to,this,kind,of,synagogue,I,said,We,didnt,go,They,said,What,kind,of,synagogue,I,say,The,women
,,,,,,,,,,,,,,,,,,,,,,,,,,,Upstairs,the,women
,,,,,,,,,,,,,,,,,,,,,,,,V,It,filled,up,with,women
,,,,,,,,,,,,No,you,go,to,the,spa,you,go,here,you,go,there,and,you,meet,the,German,women
,,,,,,,,,,,,,,,,,,,,,,,,,,Now,those,German,women
,,,,,,,,,,,,,,,,,,,,,The,news,were,that,they,raped,300,white,women
,,,,,,,,,,,,,,,,,,,,,,,,,I,Raped,300,white,women
