,,,,,,,,,,,,,,,,,,,,,,,,,,,,,When,she
,,,,,,,,,,,,,,,,,,,,,,,,,,When,she,was,gay,she
,,When,she,was,gay,she,sang,about,the,parvenus,on,Rivington,Street,who,shook,their,bustles,and,gave,themselves,airs,“,à,la,française,There,was,one,song,she
,,,,,,,,,,,,,,,,,,,,,,,,,,,,What,did,she
,,,,,,,,,,,,,,,What,did,she,know,of,Virginia,She,knew,little,enough,of,New,York,to,which,she
,,,,,,,,,,,,,,,,,,,,,,,,Nona,brought,up,six,children,though,she
,,,,,,,,,,,,,,,,,,,,,,When,nationalist,vendettas,brought,catastrophe,to,their,families,she
,,,,,,,,,,,,,,And,when,he,died,a,couple,of,years,later,Nona,my,mother,said,it,was,because,she
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What,she
,,,,,,,,,,,,Trying,to,explain,to,a,doctor,at,the,Home,that,there,would,be,a,holiday,three,days,hence,she
Trying,to,explain,to,a,doctor,at,the,Home,that,there,would,be,a,holiday,three,days,hence,she,counted,on,her,fingers,saying,Tomorrow,and,tomorrow,and,tomorrow,But,she
,,,,,,,,,,,,,,,,,,,,,,,,,,,,How,did,she
,,,,,,,,,,,,,,,,,,,,,,How,did,she,manage,to,get,it,Perhaps,she
,,,,,,,,,,,,,,,,,,,,,,,,,When,I,asked,her,where,she
,,,,,,,,,,,,,,,,,,,,,,When,I,asked,her,where,she,got,it,she
,,,,,,,,,,,,,,,,,,,,,,,,,,,Although,almost,blind,she
,,,,,,,,,,,,,,,,,,,,,,,,,,,,One,day,she
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Savia,meldar,she
,,,,,,,,,,,,,,,,,,,,,,,,,,,,But,now,she
,,,,,,,,,,,,,,,,,,,,,,,,,,Just,before,I,left,she
,,,,,,,,,,,,,,,,,,,,,Just,before,I,left,she,turned,to,me,though,she
