,,,,,,,,,,,,She,came,and,she
,,,,,,,,,,,B,My,sister,when,she
,,,,,,,,B,My,sister,when,she,passed,away,she
,,,,,,,,,,,,,My,grandma,she
,,,,,,,,,,,,My,grandma,when,she
My,grandma,when,she,saw,the,Reverend,such,a,good,boy,and,this,and,that,she
,,,,,,,,,,,,,,Then,she
,,,,,,,,,,,,Like,I,say,she
,Right,after,Pesach,my,mother,left,for,Beirut,to,take,care,of,her,because,she
,,,,,,,,,,,,,,When,she
,,,,,,,,,,,When,she,went,here,she
,,,,,,,,,,,,,,1919,she
,,,,,,,,,The,first,day,of,Rosh,Hashanah,she
,,,,,,,,R,What,sort,of,a,woman,was,she
