,,,,,,,,,,,,,,,,,,,,,,,My,mother,Regina,was,a,serene,beautiful,woman
,,,,,,,,,,,,,,,,,,,,Not,our,Laura,no,but,like,her,a,young,beautiful,woman
,,,,,,,,,,,,,,,,,,,,,,,,You,are,a,young,and,beautiful,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,,An,elderly,looking,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,Look,shes,an,old,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The,woman
,,,,,,,,,,,,,,,,,,,,God,told,me,last,night,I,would,see,you,the,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The,woman
,,,,,,,,,,,,,,,,,,,,,,,Strange,colors,I,have,never,seen,The,woman
,,,,,,,,,,,,,,,,,,,,,,As,I,began,to,leave,the,tent,the,woman
,,,,,,,,,,,,,,,,,,Though,every,instinct,told,me,to,run,away,the,touch,of,the,woman
,,,,,,,,,,,,,,,,,,And,perhaps,Nino,represented,the,first,inkling,of,the,danger,the,gypsy,woman
,,,,,,,,,,,There,is,little,doubt,in,my,mind,that,that,doctor,risked,severe,punishment,perhaps,even,death,for,treating,a,woman
,,,,,,,,,,,,As,I,left,the,bus,and,walked,down,the,fule,road,between,the,houses,of,Izguro,the,Turkish,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The,Turkish,woman
,,,,,,,,,,,,,,,,,,,,,By,the,time,we,reached,the,headquarters,the,Turkish,woman
,,,,,,,,,,,,,,I,looked,back,as,I,reached,the,top,of,the,steps,and,the,door,and,the,woman
,,,,,,,,,,,,,,,,,,,,,,,,,I,knew,nothing,but,the,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,,A,very,old,woman
,,,,,,,,,,,,,,,,,,,,,,,That,practice,had,begun,with,the,old,woman
,,,,,,,,,,,,,,In,the,struggle,the,gun,went,off,and,the,bullet,ripped,through,the,arm,of,a,woman
,,,,,,,,,,,,,Within,a,few,minutes,several,guards,returned,to,retrieve,the,body,of,the,little,boy,and,another,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,Ahead,of,us,a,woman
,,,,,,,,,,,,,,,,,,,,,,,,,Auntie,Diana,was,a,strong,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,woman
,,,,,,,,,,,,,,,,,,,,,,,,,She,was,a,tall,Polish,woman
,,,,,,,,,,,,,,,,,,,,,,,,,I,remember,a,young,beautiful,woman
,,,,,,,,,,,,,,,,,,,A,few,days,later,we,returned,from,work,and,the,young,woman
,,,,,,,,,,,,,,,,,,,,There,was,no,reason,to,torture,and,murder,an,innocent,woman
,,,,,,,,,,,,,,,,,,,,,,There,was,absolutely,no,reason,to,bring,the,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,She,was,a,large,woman
,,,,,,,,,,,,,The,only,person,I,had,known,who,had,ever,come,back,from,the,infirmary,was,the,pregnant,woman
,,,,,,,,,,,,,,,,,,,,Keep,going,It,was,Yiddish,and,it,came,from,the,woman
,,,,,,,,,,,,,,It,was,one,of,the,guards,one,of,our,tormentors,and,he,was,talking,to,the,woman
,,,,,,,,,,,,,,,,,,,,,,,,She,has,not,seen,him,the,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The,gypsy,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,,A,tall,beautiful,woman
,,,,,,,,,,,,,,,,,,,,,,,,I,cant,go,to,Sweden,The,woman
,,,,,,,,,,,,,,,,In,retrospect,I,will,never,be,able,to,say,enough,about,that,tall,elegant,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,That,tall,woman
,,,,,,,,,,,,And,shock,though,it,still,was,its,edges,were,softened,by,those,doctors,nurses,and,the,serene,wonderful,woman
,,,,,,,,,,,,,,,,,,,,,,The,next,morning,of,course,that,same,tall,woman
,,,,,,,,,,,,,,,,,,,,,,There,was,no,point,in,arguing,with,the,woman
If,I,focused,more,than,a,moment,on,the,voices,around,me,I,heard,Jaco,and,Salvo,as,the,Nazis,took,them,away,or,the,last,whispers,of,the,pregnant,woman
,,,,,,,,,,,,,,,,,,,,,,,,I,knew,only,the,wonderful,elegant,woman
,,,,,,,,,,,,,,,,,,,,,I,also,had,my,own,nurse,a,wonderful,Swedish,woman
,,,,,,,,,,,,,,,,,,,,,,,,She,was,a,most,special,sophisticated,woman
,,,,,,,,,,,,,,,,,,,,,,,,,,I,was,a,young,woman
,,,,,,,,,,,,,,,,,The,letter,contained,notice,of,the,death,of,Lia,Vytautus,the,wonderful,Lithuanian,woman
,,,,,,,,,,,,,,,,,,,,,,,,,Luigia,was,a,short,rotund,woman
,,,,,,,,,,,,,,,,,,,,,,Her,name,was,Miriam,a,petite,blonde,young,woman
,,,,,,,,,,,,,,,,,,,,,,,,She,had,grown,into,a,beautiful,woman
